Conversation Starters
What's your favorite TV show?
What's your favorite movie?
What's your favorite book?
What's your favorite music genre?
What's your favorite band?
What are you doing this weekend?
Where did you go on vacation last year?
Do you like to cook or bake?
What's the number one item on your bucket list?
What's the best book you've ever read?
"If you could live anywhere in the world, where would it be?"
What's your go-to comfort food?
What pet peeve drives you the craziest?
What's the last movie you saw in a theater?
What website is your biggest time suck?
What's your favorite hobby?
"If you could travel through time, what time period would you visit?"
What's the best concert you've seen?
Do you root for any particular sports teams?
